field_path	type	included_by_default	ghost_include_param	description	firestore_mapping_notes
id	string	yes		Ghost member ID	
uuid	string	yes		Ghost member UUID	
email	string	yes		Member email (required)	
name	string	yes		Member display name	
note	string|null	yes		Internal note about the member (max 2000 chars)	
geolocation	object|null	yes		JSON geolocation object (country/city/region) from IP	
subscribed	boolean	yes		True if subscribed to at least one active newsletter	
created_at	string (ISO 8601)	yes		Created timestamp	
updated_at	string (ISO 8601)	yes		Updated timestamp	
labels	array<object>	yes	include=labels	Array of label objects: {id,name,slug,created_at,updated_at}	Map to Firestore labels/segments if needed
labels[].id	string	yes	include=labels	Label ID	
labels[].name	string	yes	include=labels	Label name	
labels[].slug	string	yes	include=labels	Label slug	
labels[].created_at	string (ISO 8601)	yes	include=labels	Label created timestamp	
labels[].updated_at	string (ISO 8601)	yes	include=labels	Label updated timestamp	
newsletters	array<object>	no	include=newsletters	Active newsletters the member is subscribed to: {id,name,description,status}	Map to Firestore newsletter preferences
newsletters[].id	string	no	include=newsletters	Newsletter ID	
newsletters[].name	string	no	include=newsletters	Newsletter name	
newsletters[].description	string|null	no	include=newsletters	Newsletter description	
newsletters[].status	string	no	include=newsletters	Newsletter status (e.g. active)	
tiers	array<object>	no	include=tiers	Tiers the member has access to (see Ghost Tiers API)	
subscriptions	array<object>	yes		Paid/complimentary/gift subscriptions for this member (see subscription object below)	
subscriptions[].id	string	yes		Stripe subscription id (or empty for synthetic subscriptions)	
subscriptions[].customer	object	yes		Stripe customer attached: {id,name,email}	
subscriptions[].customer.id	string	yes		Stripe customer id	
subscriptions[].customer.name	string	yes		Stripe customer name	
subscriptions[].customer.email	string	yes		Stripe customer email	
subscriptions[].status	string	yes		Stripe subscription status (active/trialing/past_due/canceled/unpaid)	
subscriptions[].start_date	string (ISO 8601)	yes		Subscription start date	
subscriptions[].default_payment_card_last4	string	yes		Last 4 of default card	
subscriptions[].cancel_at_period_end	boolean	yes		Whether cancels at current_period_end	
subscriptions[].cancellation_reason	string|null	yes		Reason recorded on cancel	
subscriptions[].current_period_end	string (ISO 8601)	yes		End of current billing period	
subscriptions[].trial_start_at	string|null	yes		Trial start date	
subscriptions[].trial_end_at	string|null	yes		Trial end date	
subscriptions[].discount_start	string|null	yes		Discount window start	
subscriptions[].discount_end	string|null	yes		Discount window end	
subscriptions[].price	object	yes		Price details (see price object below)	
subscriptions[].price.id	string	yes		Stripe price id	
subscriptions[].price.price_id	string	yes		Ghost internal price id	
subscriptions[].price.nickname	string|null	yes		Price nickname (Monthly/Yearly)	
subscriptions[].price.amount	number	yes		Amount in smallest currency unit	
subscriptions[].price.interval	string|null	yes		Billing interval (month/year/null)	
subscriptions[].price.type	string	yes		Price type (recurring/one_time/donation)	
subscriptions[].price.currency	string	yes		ISO 4217 currency code	
subscriptions[].price.tier	object	yes		Stripe-side tier reference: {id,name,tier_id}	
subscriptions[].price.tier.id	string	yes		Stripe product id	
subscriptions[].price.tier.name	string	yes		Tier name	
subscriptions[].price.tier.tier_id	string	yes		Ghost internal tier id	
subscriptions[].tier	object	yes		Full tier object (Ghost tier + pricing + expiry_at)	
subscriptions[].tier.id	string	yes		Ghost tier id	
subscriptions[].tier.name	string	yes		Tier name	
subscriptions[].tier.slug	string	yes		Tier slug	
subscriptions[].tier.description	string|null	yes		Tier description	
subscriptions[].tier.type	string	yes		Tier type (paid/free/etc)	
subscriptions[].tier.currency	string	yes		Tier currency	
subscriptions[].tier.monthly_price	number|null	yes		Tier monthly price	
subscriptions[].tier.yearly_price	number|null	yes		Tier yearly price	
subscriptions[].tier.welcome_page_url	string|null	yes		Tier welcome page URL	
subscriptions[].tier.visibility	string	yes		Tier visibility (public/hidden)	
subscriptions[].tier.trial_days	number	yes		Tier trial days	
subscriptions[].tier.created_at	string (ISO 8601)	yes		Tier created timestamp	
subscriptions[].tier.updated_at	string (ISO 8601)	yes		Tier updated timestamp	
subscriptions[].tier.expiry_at	string|null	yes		Tier expiry timestamp from member-tier pivot	
subscriptions[].offer	object|null	yes		Applied signup offer (see Ghost offers API)	
subscriptions[].offer_redemptions	array<object>	yes		All offers redeemed against this subscription	
subscriptions[].next_payment	object|null	yes		Next scheduled payment (see next_payment object below)	
subscriptions[].next_payment.original_amount	number	yes		Undiscounted amount	
subscriptions[].next_payment.amount	number	yes		Amount to be charged	
subscriptions[].next_payment.interval	string	yes		Billing interval (month/year)	
subscriptions[].next_payment.currency	string	yes		Currency code	
subscriptions[].next_payment.discount	object|null	yes		Discount details (offer_id/start/end/duration/type/amount)	
subscriptions[].plan	object	yes		Deprecated legacy pricing block (use price instead)	
